Metric,Value
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,43
design__max_cap_violation__count__corner:min_tt_025C_1v80,1
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.4752378625141956
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.46460211992651657
timing__hold__ws__corner:min_tt_025C_1v80,0.31629066927465466
timing__setup__ws__corner:min_tt_025C_1v80,8.842876903241507
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.316291
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,8.842876
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,89
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,183
design__max_fanout_violation__count__corner:min_ss_100C_1v60,43
design__max_cap_violation__count__corner:min_ss_100C_1v60,1
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.6432687897758227
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.6249689831433723
timing__hold__ws__corner:min_ss_100C_1v60,0.8623546565363994
timing__setup__ws__corner:min_ss_100C_1v60,-1.518555990602628
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-8.962029594327825
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-1.518555990602628
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.862355
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,13
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-1.518556
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,13
timing__unannotated_net__count__corner:min_ss_100C_1v60,89
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,43
design__max_cap_violation__count__corner:min_ff_n40C_1v95,1
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.4037737203319256
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.3955979267250563
timing__hold__ws__corner:min_ff_n40C_1v95,0.10557732764647478
timing__setup__ws__corner:min_ff_n40C_1v95,12.92372823116265
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.105577
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,12.923728
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,89
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,3
design__max_fanout_violation__count__corner:max_tt_025C_1v80,43
design__max_cap_violation__count__corner:max_tt_025C_1v80,8
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.49606264944296224
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.4866334140058413
timing__hold__ws__corner:max_tt_025C_1v80,0.326695790778021
timing__setup__ws__corner:max_tt_025C_1v80,8.458252115890856
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.326696
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,8.458252
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,89
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,287
design__max_fanout_violation__count__corner:max_ss_100C_1v60,43
design__max_cap_violation__count__corner:max_ss_100C_1v60,8
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.671046126548331
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.6538236803694467
timing__hold__ws__corner:max_ss_100C_1v60,0.8802965272555875
timing__setup__ws__corner:max_ss_100C_1v60,-2.313504120426339
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-24.865671114849356
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-2.313504120426339
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.880297
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,33
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-2.313504
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,33
timing__unannotated_net__count__corner:max_ss_100C_1v60,89
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,43
design__max_cap_violation__count__corner:max_ff_n40C_1v95,7
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.42300622535374205
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.41733442882743016
timing__hold__ws__corner:max_ff_n40C_1v95,0.10953893657728668
timing__setup__ws__corner:max_ff_n40C_1v95,12.645574723063186
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.109539
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,12.645575
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,89
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,89
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79464
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79988
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00535509
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00436241
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000116292
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00436241
design_powergrid__voltage__worst,0.00436241
design_powergrid__voltage__worst__net:VPWR,1.79464
design_powergrid__drop__worst,0.00535509
design_powergrid__drop__worst__net:VPWR,0.00535509
design_powergrid__voltage__worst__net:VGND,0.00436241
design_powergrid__drop__worst__net:VGND,0.00436241
ir__voltage__worst,1.79000000000000003552713678800500929355621337890625
ir__drop__avg,0.00011600000000000000068001160258290838100947439670562744140625
ir__drop__worst,0.0053600000000000001809663530139005160890519618988037109375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
