Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,41367
design__instance__area,257104
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,32
design__max_cap_violation__count__corner:nom_tt_025C_1v80,4
power__internal__total,0.015620335005223751
power__switching__total,0.023977594450116158
power__leakage__total,3.027337811545294E-7
power__total,0.03959823027253151
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.48510252743388926
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.4861460260842466
timing__hold__ws__corner:nom_tt_025C_1v80,0.3214063550722039
timing__setup__ws__corner:nom_tt_025C_1v80,13.702319666746567
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.321406
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.702320
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,195
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,32
design__max_cap_violation__count__corner:nom_ss_100C_1v60,4
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.6610747691929533
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.6602807376632847
timing__hold__ws__corner:nom_ss_100C_1v60,0.8696330568470843
timing__setup__ws__corner:nom_ss_100C_1v60,2.3515146051508355
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.869633
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.351515
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,32
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,4
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.4134208370437913
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.40879709108236645
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10581369413510237
timing__setup__ws__corner:nom_ff_n40C_1v95,17.841959525930314
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.105814
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.841959
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,210
design__max_fanout_violation__count,32
design__max_cap_violation__count,5
clock__skew__worst_hold,-0.4060149276151221
clock__skew__worst_setup,0.40161511364409735
timing__hold__ws,0.10422052404970734
timing__setup__ws,2.0319622115598865
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.104221
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.031962
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 850.0 850.0
design__core__bbox,5.52 10.88 844.1 837.76
design__io,183
design__die__area,722500
design__core__area,693405
design__instance__count__stdcell,41367
design__instance__area__stdcell,257104
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.370785
design__instance__utilization__stdcell,0.370785
design__instance__count__class:inverter,427
design__instance__count__class:sequential_cell,603
design__instance__count__class:multi_input_combinational_cell,27522
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,52138
design__instance__count__class:tap_cell,9792
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,181
design__io__hpwl,33624743
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1.01841E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,2557
design__instance__count__class:clock_buffer,153
design__instance__count__class:clock_inverter,87
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,148
antenna__violating__nets,33
antenna__violating__pins,42
route__antenna_violation__count,33
antenna_diodes_count,226
design__instance__count__class:antenna_cell,226
route__net,31405
route__net__special,2
route__drc_errors__iter:1,15149
route__wirelength__iter:1,1128078
route__drc_errors__iter:2,7966
route__wirelength__iter:2,1122528
route__drc_errors__iter:3,7219
route__wirelength__iter:3,1121115
route__drc_errors__iter:4,679
route__wirelength__iter:4,1120705
route__drc_errors__iter:5,13
route__wirelength__iter:5,1120640
route__drc_errors__iter:6,0
route__wirelength__iter:6,1120641
route__drc_errors,0
route__wirelength,1120641
route__vias,228486
route__vias__singlecut,228486
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1601.85
timing__unannotated_net__count__corner:nom_tt_025C_1v80,107
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,107
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,107
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,32
design__max_cap_violation__count__corner:min_tt_025C_1v80,4
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.4759750506233958
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.47568128560277173
timing__hold__ws__corner:min_tt_025C_1v80,0.3167425300584566
timing__setup__ws__corner:min_tt_025C_1v80,13.883286024878544
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
